Wall time,Step,Value
1717073554.8600237,3372000,-13773.841796875
1717073703.8172376,3382000,-13641.6845703125
1717073852.8757274,3392000,-14023.2626953125
1717074002.3463814,3402000,-13983.369140625
1717074160.2679226,3412000,-13770.4208984375
1717074316.0130217,3422000,-13507.158203125
1717074466.3109267,3432000,-13727.1572265625
1717074616.4209626,3442000,-13994.5263671875
1717074766.3217566,3452000,-13964.947265625
1717074925.2242038,3462000,-13837.052734375
1717075074.8243477,3472000,-13910.158203125
1717075224.621797,3482000,-13932.0
1717075374.0387661,3492000,-13463.4208984375
1717075523.564817,3502000,-13735.052734375
1717075681.3338225,3512000,-13857.7890625
1717075830.7561002,3522000,-13555.2099609375
1717075980.5397081,3532000,-13495.2109375
1717076129.9769535,3542000,-13471.2109375
1717076279.5186071,3552000,-13593.5263671875
1717076438.4954846,3562000,-13474.0
1717076588.4105484,3572000,-13627.89453125
1717076740.9438107,3582000,-13509.7890625
1717076890.8491817,3592000,-13739.5263671875
1717077040.2313979,3602000,-13885.6318359375
1717077199.468027,3612000,-13687.89453125
1717077349.1367657,3622000,-13660.0
1717077499.0164888,3632000,-13704.052734375
1717077648.710325,3642000,-13572.10546875
1717077800.3897686,3652000,-13836.4736328125
1717077959.2935224,3662000,-13818.3154296875
1717078108.9401362,3672000,-13862.052734375
1717078258.4379876,3682000,-13817.6318359375
1717078408.4796116,3692000,-13751.4736328125
1717078558.3401313,3702000,-13577.6318359375
1717078715.7329967,3712000,-13848.5791015625
1717078865.262235,3722000,-14077.3154296875
1717079014.3770454,3732000,-13761.578125
1717079164.0905652,3742000,-13905.7373046875
1717079313.5865066,3752000,-13841.6845703125
1717079471.4472814,3762000,-14087.6845703125
1717079620.586737,3772000,-13953.7373046875
1717079770.3189774,3782000,-14047.89453125
1717079919.6223621,3792000,-13830.3154296875
1717080068.9813037,3802000,-13700.5263671875
1717080226.8368702,3812000,-13548.4736328125
1717080380.146795,3822000,-13904.4736328125
1717080529.7161665,3832000,-13868.2109375
1717080679.7350602,3842000,-13715.3154296875
1717080829.2987666,3852000,-13744.89453125
1717080987.2042353,3862000,-13806.2109375
1717081136.627423,3872000,-13546.31640625
1717081286.6705832,3882000,-13840.89453125
1717081436.8157613,3892000,-13804.841796875
1717081586.7423544,3902000,-13995.5263671875
1717081744.5290186,3912000,-13559.158203125
1717081893.815979,3922000,-13600.3681640625
1717082043.4544864,3932000,-13553.5263671875
1717082192.76208,3942000,-13592.7900390625
1717082342.2917035,3952000,-13723.158203125
1717082500.172155,3962000,-13613.4736328125
1717082650.216525,3972000,-13657.10546875
1717082799.503976,3982000,-13566.5263671875
1717082949.0852447,3992000,-13622.7373046875
1717083098.4832366,4002000,-13744.7890625
1717083257.1669137,4012000,-13525.2099609375
1717083407.1542253,4022000,-13915.841796875
1717083557.543185,4032000,-13402.2626953125
1717083708.3745692,4042000,-13734.5791015625
1717083859.0693243,4052000,-13815.0
1717084020.3718512,4062000,-13641.841796875
1717084170.5822196,4072000,-13704.89453125
1717084320.4521525,4082000,-13998.6318359375
1717084471.232235,4092000,-13622.4736328125
1717084621.2134843,4102000,-13840.052734375
1717084779.5327685,4112000,-13876.7890625
1717084929.5522819,4122000,-13882.4736328125
1717085085.0742395,4132000,-13813.6845703125
1717085235.7987041,4142000,-13488.3154296875
1717085385.6503448,4152000,-13791.7890625
1717085544.3295977,4162000,-13467.263671875
1717085694.2411969,4172000,-14181.0
1717085844.176779,4182000,-13980.052734375
1717085994.2132814,4192000,-13831.947265625
1717086144.082166,4202000,-13805.2099609375
1717086301.8494022,4212000,-13923.5263671875
1717086451.4332612,4222000,-13973.8955078125
1717086600.7030854,4232000,-13527.4736328125
1717086750.2506893,4242000,-13846.2109375
1717086900.845394,4252000,-13508.6845703125
1717087058.779906,4262000,-13761.158203125
1717087208.7239556,4272000,-13424.4208984375
1717087358.435969,4282000,-13930.0
1717087510.5490913,4292000,-13656.3681640625
1717087660.5539305,4302000,-13870.7373046875
1717087818.9491239,4312000,-13776.052734375
1717087968.5977554,4322000,-13621.4208984375
1717088118.7806945,4332000,-13551.841796875
1717088268.7533243,4342000,-13559.263671875
1717088419.7929418,4352000,-13806.4208984375
1717088578.8737426,4362000,-13614.1572265625
1717088729.5940945,4372000,-13904.10546875
1717088879.4345033,4382000,-13994.31640625
1717089029.2784796,4392000,-13840.3154296875
1717089179.056166,4402000,-13771.5791015625
1717089337.2240999,4412000,-13736.4736328125
1717089486.602947,4422000,-13778.5791015625
1717089636.1235824,4432000,-14098.7890625
1717089785.7593591,4442000,-13643.7373046875
1717089934.8630362,4452000,-13540.68359375
1717090093.2751148,4462000,-13768.158203125
1717090243.4219596,4472000,-13870.89453125
1717090394.2897706,4482000,-13710.89453125
1717090546.6686153,4492000,-13386.2099609375
1717090697.161148,4502000,-13517.3681640625
1717090855.7052238,4512000,-13709.052734375
1717091005.8640223,4522000,-13725.89453125
1717091214.660516,4532000,-13637.947265625
1717091649.5681722,4542000,-13717.3154296875
1717092039.872255,4552000,-13517.947265625
1717092469.5980244,4562000,-13695.10546875
